location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,2,5,2,115.75,14:59:09.1,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,2,5,3,173.5,15:00:48.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,3,7,1,191.5,15:02:04.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,3,7,2,264.5,15:01:39.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,1,3,7,3,297,15:01:46.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,1,1,1,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,1,1,2,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,1,1,3,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,2,6,1,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,2,6,2,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,2,6,3,,,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,3,8,1,202.75,15:05:46.1,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,3,8,2,227.75,15:05:14.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,2,3,8,3,217.75,15:05:54.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,1,3,1,235,14:39:33.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,1,3,2,315.75,14:39:27.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,1,3,3,286.25,14:39:56.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,2,9,1,384.75,14:40:45.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,2,9,2,221.5,14:40:25.1,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,2,9,3,294.75,14:39:22.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,3,4,1,321.5,14:39:02.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,3,4,2,343.25,14:40:14.0,
CGREC,BAR,SE,Cattle,SE,E,5-16-2018,3,3,4,3,378.5,14:39:02.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,1,6R,1,345.25,14:51:50.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,1,6R,2,379.25,14:51:40.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,1,6R,3,285.75,14:51:00.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,2,7R,1,241.25,14:56:41.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,2,7R,2,289.25,14:56:58.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,2,7R,3,347,14:56:55.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,3,7Y,1,251.25,14:51:23.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,3,7Y,2,258.5,14:52:02.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,1,3,7Y,3,334.75,14:51:42.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,1,3R,1,281,15:33:06.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,1,3R,2,38.5,15:38:26.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,1,3R,3,40.5,15:40:03.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,2,2R,1,122.75,15:39:18.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,2,2R,2,217.75,15:38:24.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,2,2R,3,230.25,15:39:34.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,3,5Y,1,365.25,15:33:29.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,3,5Y,2,430,15:33:32.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,2,3,5Y,3,376.25,15:33:27.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,1,4R,1,253.75,15:33:23.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,1,4R,2,105,15:36:04.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,1,4R,3,138.75,15:33:20.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,2,8R,1,264,15:42:54.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,2,8R,2,203.25,15:44:41.1,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,2,8R,3,78,15:43:51.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,3,3Y,1,228.75,15:32:22.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,3,3Y,2,266.25,15:32:23.0,
CGREC,BAR,SE,Cattle,SW,E,5-13-2019,3,3,3Y,3,61,15:44:04.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,1,8,1,274.75,12:30:52.1,1
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,1,8,2,42.5,13:21:25.0,1
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,1,8,3,43,13:00:33.0,1
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,2,3,1,43.25,12:58:33.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,2,3,2,40.5,13:18:36.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,2,3,3,46.25,13:19:00.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,3,7,1,43.75,13:18:13.1,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,3,7,2,47.5,13:17:45.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,1,3,7,3,48,12:59:31.1,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,1,9,1,97,12:12:00.1,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,1,9,2,71,12:11:31.0,
